ID,Partner_name,Program name,Site_name,Brief Description,Country,lat,long,Link,Comments,Hectares Restored (notes),Hectares Restored (direct),Hectares Restored (indirect),Hectares Protected,# of employees (notes),# of direct beneficiaries,# of indirect beneficiaries,Link,
1,FORM International (Ghana),Asubima Forest Reserve,,,Ghana,"7,413533","-1,8874",http://www.formghana.com,,"1667,48","1667,48",,,327,327,,https://www.formghana.com/login/upload/2016%20Monitoring%20report%20ASU%20and%20AFR%20FR.pdf,
2,FORM International (Ghana),Afrensu Brohuma Forest Reserve,,,Ghana,"7,36667","-1,88333",http://www.formghana.com,,"1779,86","1779,86",,,327,https://www.formghana.com/login/upload/2016%20Monitoring%20report%20ASU%20and%20AFR%20FR.pdf,,,
3,FORM International (Ghana),Tain Tributaries,,,Ghana,"7,41667","-2,23333",http://www.formghana.com,,"5016,34","5016,34",,,242,242,242,https://www.formghana.com/login/upload/2017%20Monitoring%20Report%20Tain%20II.pdf,
4,FORM International (Ghana),Akumadan Plantation (comprised of Asubima and Afrensu?),,,Ghana,"7,3996638","-1,9621754",http://www.formghana.com,,3416,3416,,,398,398,398,https://www.formghana.com/login/upload/2017%20Monitoring%20Report%20Akumadan.pdf,
5,FORM International (Tanzania),,Kwamdulu Estate,,Tanzania,"-5,184657","38,1579673",https://www.forminternational.nl/sfi-tanzania/,,117,117,,,1294,1294,1294,https://www.sfitanzania.com/login/upload/Monitoring_Report_SFI_Tanzania_2017.pdf,
6,FORM International (Tanzania),,Kwaraguru Estate,,Tanzania,"-5,4782667","38,5277446",https://www.forminternational.nl/sfi-tanzania/,,4500,4500,,,,,18939,https://www.sfitanzania.com/login/upload/Downloads/Biodiversity_report_Kwamdulu_and_Kwaraguru_Estates_2014.pdf,http://www.tzdpg.or.tz/fileadmin/documents/dpg_internal/dpg_working_groups_clusters/cluster_2/water/WSDP/Background_information/2012_Census_General_Report.pdf
7,FORM / Unilever,Juaso,,,,"6,6","-1,133333",https://www.forminternational.nl/allanblackia-rd/,,65,100,,,,10,10000,https://www.forminternational.nl/allanblackia-rd/,https://www.juaso.org/history.html
8,Gouritz,Gouritz Cluster Biosphere Reserve,,,,"-33,765574","21,707946",https://gouritz.com,,Active: 490; Passive 1649,490,1649,236,72,815,3700,https://gouritz.com/portfolio/jobs-for-carbon/,Kannaland municipality
9,WWF Zambia,Zambezi river,,Wetland restoration,,"-15,23322","22,945036",https://panda.maps.arcgis.com/apps/MapJournal/index.html?appid=1dc745a2a0fd494fa3e35b10ba1bc656,,3416000,,,,,,200,,
10,Associação Mico-Leão-Dourado,,Poço das Antas Biological Reserve,,Brasil,"-22,553","-42,282",https://www.micoleao.org.br,,,,,,,,,,
11,Associação Mico-Leão-Dourado,"Reserva Biológica União - Casimiro de Abreu, Rio das Ostras and Macaé",,,Brasil,"-22,426389","-42,034444",https://www.micoleao.org.br,,101000,237,10000,,,16,50000,,
12,Wetlands International - Latin America,,Laguna de los Pozuelos,,,"-22,3593239","-66,0288145",https://www.wetlands.org/blog/andean-region-place-conserve/,,,16224,400000,,,,,https://whsrn.org/whsrn_sites/monumento-natural-laguna-de-los-pozuelos/,https://whsrn.org/whsrn_sites/monumento-natural-laguna-de-los-pozuelos/
13,Wetlands International - Latin America,Lake Junin,,,,"-11,016667","-76,116667",https://www.wetlands.org/news/saving-high-andean-wetlands-nature-people/,,32 (improved management),53000,,,,4000,23000,https://www.wetlands.org/publications/the-source-annual-review-and-accounts-2018/,http://www.dobecology.nl/ecology/programmes/saving-high-andean-by-wetlands-international/
14,Wetlands International - Latin America,Blue Corridor - Pantanal,,,,"-17,716667","-57,383333",https://www.wetlands.org/blog/blue-green-infrastructure-climate-change-adaptation-combining-nature-semi-natural-structures-water-management-risk-reduction-peruvian-basins/,,839000,839000,,,,,28000,https://www.cbd.int/financial/fiscalenviron/brazil-fiscalpantanal.pdf,http://www.dobecology.nl/ecology/programmes/corredorazul/
